method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean,postfilter_candidate_pool_lower_bound
lazy_qcap,0.001,0,6,64,L3,1.0,7374.0,7264.0,110,19807.0,245.0,19807,0,8.171073999989176,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,6,64,L3,1.0,789.0,683.0,106,707.0,246.0,1847,1847,4.506083999984867,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,6,128,L3,1.0,515.0,311.0,204,872.0,311.0,0,0,3.3810839999830478,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,6,128,L3,1.0,551.0,343.0,208,1713.0,343.0,0,0,3.019292000033147,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,6,128,L3,1.0,559.0,351.0,208,3272.0,351.0,0,0,2.5710390000313055,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,6,128,L3,1.0,564.0,356.0,208,6110.0,356.0,0,0,2.2091460000126517,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,6,128,L3,1.0,550.0,342.0,208,1477.0,342.0,0,0,3.060113000003639,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,6,128,L3,0.9,841.0,734.0,107,1590.0,734.0,0,0,3.9695270000095206,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,6,128,L3,1.0,15044.0,14837.0,207,40561.0,312.0,40561,0,15.821404999968536,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,6,128,L3,1.0,1009.0,802.0,207,1279.0,312.0,3485,3485,7.178994000014427,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,6,256,L3,1.0,737.0,343.0,394,1662.0,343.0,0,0,4.852922999987186,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,6,256,L3,1.0,746.0,352.0,394,3252.0,352.0,0,0,3.9570999999796186,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,6,256,L3,1.0,757.0,363.0,394,6215.0,363.0,0,0,3.527152999993177,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,6,256,L3,1.0,777.0,383.0,394,11456.0,383.0,0,0,3.3738829999947484,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,6,256,L3,1.0,746.0,352.0,394,2870.0,352.0,0,0,4.091821000002938,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,6,256,L3,1.0,1063.0,889.0,174,2928.0,889.0,0,0,6.23836299996583,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,6,256,L3,1.0,26946.0,26552.0,394,72468.0,343.0,72468,0,28.09121799998593,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,6,256,L3,1.0,1227.0,833.0,394,2076.0,343.0,3485,3485,8.359947000030843,1040,4.13057899999103,13945,1.0,6.199421965317919,
prefilter_exact,0.001,0,9,0,L3,1.0,1040.0,0.0,1040,0.0,0.0,0,0,0.13787699998601965,1040,0.0,0,0.0,0.0,0.0
postfilter_hnsw,0.001,0,9,500,L3,0.0,,,0,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,500.0
postfilter_hnsw,0.001,0,9,1000,L3,0.0,,,0,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,1000.0
postfilter_hnsw,0.001,0,9,2000,L3,0.1,,,1,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,2000.0
postfilter_hnsw,0.001,0,9,4000,L3,0.2,,,2,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,4000.0
postfilter_hnsw,0.001,0,9,8000,L3,0.4,,,4,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,8000.0
postfilter_hnsw,0.001,0,9,16000,L3,1.0,,,10,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,16000.0
active_c1,0.001,0,9,32,L3,0.9,223.0,169.0,54,242.0,169.0,0,0,1.1851390000003903,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,9,32,L3,0.8,301.0,246.0,55,468.0,246.0,0,0,1.1839359999896715,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,9,32,L3,0.9,361.0,304.0,57,868.0,304.0,0,0,4.0993430000071385,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,9,32,L3,0.9,384.0,327.0,57,1615.0,327.0,0,0,2.27341200002229,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,9,32,L3,0.8,275.0,220.0,55,361.0,220.0,0,0,1.1725210000008701,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,9,32,L3,0.7,373.0,337.0,36,445.0,337.0,0,0,1.2132809999911842,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,9,32,L3,0.9,3433.0,3377.0,56,8309.0,171.0,8309,0,4.051569999973026,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,9,32,L3,0.9,577.0,521.0,56,333.0,168.0,1189,1189,2.159991000013406,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,9,64,L3,1.0,359.0,249.0,110,473.0,249.0,0,0,2.049425999985033,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,9,64,L3,1.0,424.0,314.0,110,922.0,314.0,0,0,2.02569099997163,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,9,64,L3,1.0,454.0,344.0,110,1757.0,344.0,0,0,1.8493750000061482,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,9,64,L3,1.0,463.0,353.0,110,3229.0,353.0,0,0,1.6582789999972647,1040,4.203118000020822,78317,8.0,42.947976878612714,
